generation,best_fitness,best_distance
0,0.00776519,127.78
1,0.00802444,123.619
2,0.00805791,123.102
3,0.00823438,120.442
4,0.00823438,120.442
5,0.00823438,120.442
6,0.00823438,120.442
7,0.00823438,120.442
8,0.00823438,120.442
9,0.00823438,120.442
generation,best_fitness,best_distance
0,0.00771047,128.694
1,0.00783166,126.687
2,0.0078891,125.757
3,0.00796712,124.516
4,0.00804507,123.3
5,0.00804507,123.3
6,0.00811458,122.235
7,0.00811458,122.235
8,0.00814651,121.752
9,0.00823438,120.442
generation,best_fitness,best_distance
0,0.00784896,126.405
1,0.00784896,126.405
2,0.00801818,123.717
3,0.00801818,123.717
4,0.00801818,123.717
5,0.00805114,123.206
6,0.00805114,123.206
7,0.00811458,122.235
8,0.00811458,122.235
9,0.00811458,122.235
generation,best_fitness,best_distance
0,0.00788123,125.884
1,0.00789537,125.657
2,0.00795689,124.677
3,0.00811458,122.235
4,0.00811458,122.235
5,0.00811458,122.235
6,0.00814651,121.752
7,0.00823438,120.442
8,0.00823438,120.442
9,0.00823438,120.442
generation,best_fitness,best_distance
0,0.00785272,126.344
1,0.00800808,123.874
2,0.00800808,123.874
3,0.00809297,122.564
4,0.00810645,122.359
5,0.00810645,122.359
6,0.00810645,122.359
7,0.00810645,122.359
8,0.00810645,122.359
9,0.00823438,120.442
